ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
MiddleChinese-232_theaxe-1,,MiddleChinese,232_theaxe,pjuX,pjuX,p j u X/¹⁵,,Zhang2019,,,^p j u X$,default
OldChinese-232_theaxe-1,,OldChinese,232_theaxe,*praʔ,praʔ,p r a ʔ,,Baxter2014,,,^p r a ʔ$,default
CogtseSitu-232_theaxe-1,,CogtseSitu,232_theaxe,ʃa-rpâ,ʃa+rpâ,ʃ a + r p â,,Zhang2019,,,^ʃ a + r p â$,default
BragbarSitu-232_theaxe-1,,BragbarSitu,232_theaxe,ɕa-rpiɛ̂,ɕa+rpiɛ̂,ɕ a + r p i ɛ̂,,Zhang2019,,,^ɕ a + r p i ɛ̂$,default
Japhug-232_theaxe-1,,Japhug,232_theaxe,tɯ-rpa,tɯ+rpa,t ɯ + r p a,,Zhang2019,,,^t ɯ + r p a$,default
MiddleChinese-191_descend-1,,MiddleChinese,191_descend,ɣæH,ɣæH,ɣ æ H/⁵¹,,Zhang2019,,,^ɣ æ H$,default
OldChinese-191_descend-1,,OldChinese,191_descend,*mgˤraʔs,mgˤraʔs,m gˤ r a ʔ s,,Baxter2014,,,^m gˤ r a ʔ s$,default
CogtseSitu-191_descend-1,,CogtseSitu,191_descend,kɐ-ŋgrɐ̂k,kɐ+ŋgrɐ̂k,k ɐ + ŋ g r ɐ̂ k,,Zhang2019,,,^k ɐ + ŋ g r ɐ̂ k$,default
BragbarSitu-191_descend-1,,BragbarSitu,191_descend,kə-.griɛ̂,kə+.griɛ̂,k ə + g r i ɛ̂,,Zhang2019,,,^k ə + . g r i ɛ̂$,default
Japhug-191_descend-1,,Japhug,191_descend,ŋgra,ŋgra,ŋ g r a,,Zhang2019,,,^ŋ g r a$,default
MiddleChinese-285_torevive-1,,MiddleChinese,285_torevive,su,su,s u,,Zhang2019,,,^s u$,default
OldChinese-285_torevive-1,,OldChinese,285_torevive,*sŋˤa,sŋˤa,s ŋˤ a,,Baxter2014,,,^s ŋˤ a$,default
