ID	NUMBER	ENGLISH	GLOSS_IN_SOURCE	CHINESE	NOTE	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
Zhang-2019-122-1	1	axe	axe	斧		677	AXE	2
Zhang-2019-122-2	2	to descend	to descend	下		2014	GO DOWN (DESCEND)	1
Zhang-2019-122-3	3	to revive	to revive	蘇			???	
#<<<								
Zhang-2019-122-4	4	I, my	I, my	吾		2090	MY	4
Zhang-2019-122-4	4	I, my	I, my	吾		1209	I	4
#>>>								
Zhang-2019-122-5	5	to chew	to chew	咀	OC not in BS	321	CHEW	1
Zhang-2019-122-6	6	five	five	五		493	FIVE	2
Zhang-2019-122-7	7	night	night	夜		1233	NIGHT	2
#<<<								
Zhang-2019-122-8	8	child	child	兒	In Cogtse and Brag-bar, the cognate is a lexical suffix.	1801	CHILD (DESCENDANT)	2
Zhang-2019-122-8	8	child	child	兒	In Cogtse and Brag-bar, the cognate is a lexical suffix.	2099	CHILD	2
Zhang-2019-122-8	8	child	child	兒	In Cogtse and Brag-bar, the cognate is a lexical suffix.	1304	CHILD (YOUNG HUMAN)	2
#>>>								
Zhang-2019-122-9	9	thighbone	thighbone	髀	In Gyalrong, the word means 'pig'		???	
#<<<								
Zhang-2019-122-11	11	child	child	子	In Brag-bar and Japhug, the cognates mean 'father's sister's child.' In tibetan, it means 'grandchild, nephew'.	1801	CHILD (DESCENDANT)	2
Zhang-2019-122-11	11	child	child	子	In Brag-bar and Japhug, the cognates mean 'father's sister's child.' In tibetan, it means 'grandchild, nephew'.	2099	CHILD	2
Zhang-2019-122-11	11	child	child	子	In Brag-bar and Japhug, the cognates mean 'father's sister's child.' In tibetan, it means 'grandchild, nephew'.	1304	CHILD (YOUNG HUMAN)	2
#>>>								
Zhang-2019-122-12	12	fur garment	fur garment	裘	Cogtse/Brag-bar: garment, Japhug: to wear, Tibetan: clothes		???	
Zhang-2019-122-13	13	ear	ear	耳		1247	EAR	2
#<<<								
Zhang-2019-122-14	14	ox	ox	牛	In Gyalrong, the cognate means 'cow'.	1169	OX	2
Zhang-2019-122-14	14	ox	ox	牛	In Gyalrong, the cognate means 'cow'.	1153	CATTLE	2
#>>>								
#<<<								
Zhang-2019-122-15	15	to sit	to sit	坐		1416	SIT	1
Zhang-2019-122-15	15	to sit	to sit	坐		1649	SIT DOWN	1
#>>>								
Zhang-2019-122-16	16	the breast	milk, nipple	乳	The TB cognates mean 'udder'	1402	BREAST	1
Zhang-2019-122-17	17	queen	sovereign, queen	后	The TB cognates mean 'head'	1306	QUEEN	2
Zhang-2019-122-18	18	after	after	後		1685	AFTER	2
Zhang-2019-122-19	19	internal organs	internal organs	腑	The Gyalrong cognates mean 'intestine'.		???	
Zhang-2019-122-20	20	body	body, person	軀		1480	BODY	2
Zhang-2019-122-21	21	vomit	vomit	嘔		1278	VOMIT	2
Zhang-2019-122-22	22	protect	to take care of, protect	保		2900	PROTECT	2
Zhang-2019-122-23	23	float	float	浮	The Gyalrong cognates mean 'boat'.	1574	FLOAT	2
Zhang-2019-122-24	24	hat	hat	帽	The Gyalrong cognates mean 'mushroom'.	771	HAT	2
Zhang-2019-122-25	25	brain	brain	腦		1583	BRAIN	2
Zhang-2019-122-26	26	elbow	elbow	肘		981	ELBOW	2
Zhang-2019-122-27	27	claw	claw	爪	The Gyalrong cognates mean 'nail'.	72	CLAW	2
Zhang-2019-122-28	28	nine	nine	九		1483	NINE	2
Zhang-2019-122-29	29	mother's brother	mother's brother	舅	The Tibetan cognate means 'father's brother'.	1984	MOTHER'S BROTHER	2
