Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
+	+	kə+mə+sŋiɛ̂r, tə+nū	BragbarSitu, CogtseSitu, Japhug, OldChinese, Tibetan	100	U+002b
a	NULL	m̥ˤraŋ+s, ka+nô	BragbarSitu, OldChinese, CogtseSitu, MiddleChinese, Japhug, Tibetan	100	U+0061
r	r	m̥ˤraŋ+s, kə+mbrô	OldChinese, BragbarSitu, Japhug, CogtseSitu, Tibetan, MiddleChinese	100	U+0072
ə	ə	kə+mə+sŋiɛ̂r, kə+tʂōk	BragbarSitu, CogtseSitu, OldChinese, Japhug	100	U+0259
^t	t	tek, tə+nū	Japhug, CogtseSitu, BragbarSitu, OldChinese, MiddleChinese	100	U+005e U+0074
^k	k	kəngû, kə+mbrô	BragbarSitu, CogtseSitu, MiddleChinese, Japhug, OldChinese	95	U+005e U+006b
k$	k	tek, kə+tʂōk	OldChinese, BragbarSitu, MiddleChinese, CogtseSitu	93	U+006b U+0024
i	i	sin, srik	MiddleChinese, BragbarSitu, OldChinese, Tibetan, Japhug	83	U+0069
j	j	pjijH, pjuX	MiddleChinese, OldChinese, CogtseSitu, Japhug, BragbarSitu, Tibetan	82	U+006a
m	m	tə+mɲāk, kə+mbrô	Japhug, BragbarSitu, CogtseSitu, OldChinese, Tibetan, MiddleChinese	60	U+006d
u	u	pjuX, s.rum	MiddleChinese, OldChinese, Tibetan, Japhug, CogtseSitu	57	U+0075
n	n	snying, tə+nū	BragbarSitu, Tibetan, CogtseSitu, Japhug, MiddleChinese, OldChinese	55	U+006e
^m	m	mæŋH, mbrō	MiddleChinese, OldChinese, Japhug, Tibetan, BragbarSitu, CogtseSitu	45	U+005e U+006d
o	NULL	vo+loŋtɕâ, ɢˤroʔ	OldChinese, MiddleChinese, Japhug, Tibetan, CogtseSitu, BragbarSitu	44	U+006f
ɯ	ɯ	tɯ+ɣmɯr, kɯɕnɯz	Japhug	44	U+026f
^s	s	sin, srik	OldChinese, Japhug, MiddleChinese, Tibetan	40	U+005e U+0073
ŋ	ŋ	mæŋH, m̥ˤraŋ+s	OldChinese, BragbarSitu, CogtseSitu, MiddleChinese, Japhug, Tibetan	39	U+014b
X$	<?>	pjuX, ɕijX	MiddleChinese	39	U+0058 U+0024
ʔ$	ʔ	ɢˤroʔ, praʔ	OldChinese, Zbu	38	U+0294 U+0024
p	p	ta+rpâm, ɯ+pɯ kɤ+pa	Japhug, Tibetan, BragbarSitu, CogtseSitu, OldChinese	38	U+0070
w	w	ta+wî, təwām	MiddleChinese, BragbarSitu, CogtseSitu, OldChinese, Japhug	38	U+0077
t$	t	tsʰit, pˤret	MiddleChinese, Japhug, OldChinese, BragbarSitu, CogtseSitu	37	U+0074 U+0024
k	k	tə+skrū, rko	BragbarSitu, CogtseSitu, OldChinese, Japhug, Tibetan	36	U+006b
^p	p	pjuX, pjijH	MiddleChinese, OldChinese, Japhug, BragbarSitu, CogtseSitu	36	U+005e U+0070
a$	a	tɯ+rpa, ɯ+pɯ kɤ+pa	Tibetan, Japhug, OldChinese	35	U+0061 U+0024
ɤ	ɤ	tɤ+zrɤm, tɤ+ndɤɣ	Japhug	30	U+0264
b	b	mbrō, mbro	Japhug, BragbarSitu, Tibetan, CogtseSitu, OldChinese	28	U+0062
.	<?>	s.rum, C.məŋ+s	OldChinese, Tibetan, BragbarSitu	27	U+002e
