Grapheme	IPA
$	NULL
'o	o
'ts	ts
+	+
.	
0	0
<	
>	
A	ɑ
H$	H/⁵¹
X$	X/¹⁵
^	NULL
^*Ckˤrok	C/kˤrok	
^*Cmeŋ	C/m e ŋ	
^*Cmruk	C/m r u k	
^*Cməŋs	C/m ə ŋ s	
^*Cnəʔ	C/n ə ʔ
^*Cqˤak	C/qˤ a k
^*Cŋˤaʔ	C/ŋˤ a ʔ
^*Cəmrəŋ	Cə/m r ə ŋ	
^*Cəɢaŋʔ	Cə/ɢ a ŋ ʔ	
^*Cɢwrəm	C/ɢ w r əm	
^C	NULL
^N	N/n
^a	a
^b	b
^bs	b s
^bˤ	bˤ
^d	d
^dˤ	dˤ
^g	g
^gs	g s
^gʷ	gʷ
^gˤ	gˤ
^h	h
^j	j
^k	k
^kh	kʰ
^kw	kʷ
^kʰ	kʰ
^kʰˤ	kʰˤ
^kʷˤ	kʷˤ
^kˤ	kˤ
^l	l
^lˤ	lˤ
^l̥	l̥
^l̥ˤ	l̥ˤ
^m	m
^mˤ	mˤ
^m̥ˤ	m̥ˤ
^n	n
^nˤ	nˤ
^n̥	n̥
^n̥ˤ	n̥ˤ
^p	p
^ph	pʰ
^pʰ	pʰ
^pʰˤ	pʰˤ
^pˤ	pˤ
^q	q
^qh	qʰ
^qʰ	qʰ
^qʷʰˤ	qʷʰˤ
^qˤ	qˤ
^r	r
^rw	r w
^r̥	r̥
^s	s
'+	+
^sh	ɕ
^sw	s w
^sˤ	sˤ
^t	t
^th	tʰ
^thw	tʰ w
^ts	ts
^tsh	tsʰ
^tsʰ	tsʰ
^tsˤ	tsˤ
^tɕ	tɕ
^tʂ	ʈʂ
^u	u
^v	v
^w	w
^x	x
^xw	x w
^z	z
^zh	ʑ
^ŋ	ŋ
^ŋw	ŋ w
^ŋʷ	ŋʷ
^ŋˤ	ŋˤ
^ɕ	ɕ
^ɖ	ɖ
^ɢ	ɢ
^ɢˤ	ɢˤ
^ɣ	ɣ
^ɣʑ	ɣ ʑ
^ɯ	ɯ
^ɲ	ɲ
^ɴ	ɴ
^ʁ	ʁ
^ʂ	ʂ
^ʃ	ʃ
^ʈ	ʈ
^ʑ	ʑ
^ʔ	ʔ
^ˤk	ˤk
^χs	χ s
_	+
a	a
a$	a
b	b
b$	b
by	b j
c	c
d	d
d$	d
dʐ	ɖʐ
dʑ	dʑ
e	e
e$	e
f	f
g	g
g$	g
gs	g s
gs$	g s
gˤ	gˤ
i	i
i$	i
j	j
j$	j
k	k
k$	k
kh	kʰ
ky	c
kʰ	kʰ
kˤ	kˤ
l	l
l̥ˤ	l̥ˤ
m	m
m$	m
n	n
n$	n
ng	ŋ
ny	ɲ
o	o
o$	o
p	p
p$	p
ph	pʰ
phy	pʰ j
pˤ	pˤ
q	q
qh	qʰ
qʰ	qʰ
qˤ	qˤ
r	r
r$	r
rʑ	r ʑ
s	s
s$	s
sh	ɕ
sy	ɕ
t	t
t$	t
th	tʰ
ts	ts
ts$	ts
tsh	tsʰ
tsʰ	tsʰ
tɕ	tɕ
tʂ	ʈʂ
tʃ	tʃ
tʰ	tʰ
tˤ	tˤ
u	u
u$	u
v	v
w	w
w$	w
y	y
ya	j a
z	z
z$	z
zh	ʑ
zw	z w
zˤ	zˤ
â	â
â$	â
æ	æ
é	é
ê$	ê
ês$	ê s
î$	î
ô	ô
ô$	ô
û	û
û$	û
ā	ā
ā$	ā
ē	ē
ē$	ē
ī	ī
ī$	ī
ŋ	ŋ
ŋ$	ŋ
ŋˤ	ŋˤ
ō	ō
ō$	ō
ū$	ū
ɐ	ɐ
ɐ̂	ɐ̂
ɐ̂$	ɐ̂
ɐ̄	ɐ̄
ɕ	ɕ
ə	ə
ə$	ə
ə̂	ə̂
ə̂$	ə̂
ə̄	ə̄
ɛ	ɛ
ɛ̂	ɛ̂
ɛ̂$	ɛ̂
ɛ̄	ɛ̄
ɛ̄$	ɛ̄
ɟ	ɟ
ɢ	ɢ
ɢw	ɢ w
ɣ	ɣ
ɣ$	ɣ
ɤ	ɤ
ɨ	ɨ
ɯ	ɯ
ɯ$	ɯ
ɱ	ɱ
ɲ	ɲ
ʁ	ʁ
ʁ$	ʁ
ʃ	ʃ
ʑ	ʑ
ʔ	ʔ
ʔ$	ʔ
ˤk	kˤ
́	NULL
̂	NULL
̄	NULL
β$	β
χ	χ
^ˤkiw	ˤk/kˤ i w
