ID	Name	Chinese_Name	Glottocode	Latitude	Longitude	Source
MiddleChinese	Middle Chinese	中古汉语	midd1344	34.27	108.9	Zhang2019
OldChinese	Old Chinese	上古汉语	oldc1244	36.12	114.32	Baxter2014
CogtseSitu	Cogtse (Situ)	卓克基话	maer1238	31.67	102.29	Zhang2019
BragbarSitu	Brag-bar (Situ)	白湾话	maer1238	31.82	101.91	Zhang2019
Japhug	Japhug	茶堡话	dgon1234	32.21	101.96	Zhang2019
Zbu	Zbu	日部话	zbua1234	32.22	101.61	Zhang2019
Tibetan	Tibetan	藏语	clas1254	31.12	88.36	Zhang2019
