NUMBER	ENGLISH	GLOSS_IN_SOURCE	GLOSS	NOTE	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	axe	axe	斧		677	AXE	
#<<<							
2	to descend	to descend	下		2014	GO DOWN (DESCEND)	2
#>>>							
3	to revive	to revive	蘇		1602	WAKE UP	
4	I, my	I, my	吾		1209	I	
5	to chew	to chew	咀	OC not in BS	321	CHEW	
6	five	five	五		493	FIVE	2
7	night	night	夜		1233	NIGHT	2
8	child	child	兒	In Cogtse and Brag-bar, the cognate is a lexical suffix.	2099	CHILD	
9	thighbone	thighbone	髀				
10	rich	rich	富	In Gyalrong, the word means 'pig'	712	RICH	2
11	child	child	子	In Brag-bar and Japhug, the cognates mean 'father's sister's child.' In tibetan, it means 'grandchild, nephew'.	1620	SON	2
12	fur garment	fur garment	裘	Cogtse/Brag-bar: garment, Japhug: to wear, Tibetan: clothes	1895	CLOTHES	
13	ear	ear	耳		1247	EAR	2
#<<<							
14	ox	ox	牛	In Gyalrong, the cognate means 'cow'.	3044	BOVINE	2
#>>>							
#<<<							
15	to sit	to sit	坐		1416	SIT	2
#>>>							
16	milk, nipple	milk, nipple	乳	The TB cognates mean 'udder'	1402	BREAST	
17	sovereign, queen	sovereign, queen	后	The TB cognates mean 'head'	2093	AFTERWARDS	2
18	after	after	後		2093	AFTERWARDS	
19	internal organs	internal organs	腑	The Gyalrong cognates mean 'intestine'.	1991	INTESTINES	
20	body, person	body, person	軀		1480	BODY	
21	vomit	vomit	嘔		1278	VOMIT	
22	to take care of, protect	to take care of, protect	保		2900	PROTECT	
23	float	float	浮	The Gyalrong cognates mean 'boat'. 	1574	FLOAT	2
24	hat	hat	帽	The Gyalrong cognates mean 'mushroom'. 	771	HAT	
25	brain	brain	腦				
26	elbow	elbow	肘		981	ELBOW	2
27	claw	claw	爪	The Gyalrong cognates mean 'nail'.	72	CLAW	2
28	nine	nine	九		1483	NINE	2
29	mother's brother	mother's brother	舅	The Tibetan cognate means 'father's brother'. 	1327	UNCLE	4
30	father	father	父		1217	FATHER	2
31	allium	allium	韭	Gyalrong cognates: onion. Tibetan cognate: wild onion.			
32	hundred	hundred	百		1634	HUNDRED	2
33	shoulder blade	shoulder blade	膊	TB cognates: shoulder	1482	SHOULDER	
#<<<							
34	thin	thin	薄		2249	THIN (OF SHAPE OF OBJECT)	2
#>>>							
35	there is no X such that X... 	there is no X such that X... 	莫	Gyalrong cognates: not be	1240	NOT	
36	armpit	armpit	胳	Gyalrong cognates: arm	1673	ARM	
37	armpit	armpit	腋		1886	ARMPIT	2
38	single	single	隻	TB cognates: one	1493	ONE	
#<<<							
39	to drop, drop	to drop, drop	滴	Cogtse: drop (classifier); the Old Chinese reconstruction is not from B-S. 	808	DRIP (FALL IN GLOBULES)	2
#>>>							
40	hide	hide	革	Gyalrong cognates: peel off	629	LEATHER	2
41	evil	evil	慝	TB cognates: be black	163	BLACK	
42	to weave	to weave	織		2905	KNIT	
43	colour, countenance	colour, countenance	色	Japhug cognate: shame	1613	COLOR	
44	joint	joint	節	TB cognates: segment	999	JOINT	
45	louse	louse	蝨		1392	LOUSE	
46	to bend	to bend	曲	Japhug cognate: to curve			
47	be bent, curved	be bent, curved	局		1698	CURVED	
48	to peck	to peck	啄	Gyalrong cognates: beak	3684	PECK	4
49	shell	shell	殼	TB cognates: bark			
50	horn	horn	角		1393	HORN (ANATOMY)	2
51	poison	poison	毒		655	POISON	2
52	six	six	六		1703	SIX	2
53	belly	belly	腹	Tibetan cognate: hole	1251	BELLY	2
54	eye	eye	目		1248	EYE	2
55	to press	to press	蹙 	OC not in BS			
56	twist, spin	twist, spin	紡				
57	eldest, great	eldest, great	孟	Tibetan and Cogtse: son-in-law, Japhu: husband			
58	eldest, great	eldest, great	孟	Gyalrong cognates: be tall			
59	to oppose, disturb	to oppose, disturb	攘	Gyalrong cognates: to chase			
#<<<							
60	to think	to think	想		2271	THINK	2
#>>>							
61	strong, hard	strong, hard	剛	TB cognates: be hard	1884	HARD	
#<<<							
62	sheep	sheep	羊		2684	CAPRINE (GOAT OR SHEEP)	2
#>>>							
63	to itch	to itch	癢		149	ITCHY	2
64	name	name	名		1405	NAME	2
65	cry (of birds or animals)	cry (of birds or animals)	鳴	Gyalrong cognates: be loud			
66	string, cord	string, cord	繩	Gyalrong cognates: rope	362	STRING	
67	ice	ice	冰		617	ICE	2
68	dream	dream	夢		2374	DREAM	
69	your	your	乃	Gyalrong cognates: you	1215	THOU	
70	fly (insect)	fly (insect)	蠅	Japhug: bee, Tibetan: honey	1504	FLY (INSECT)	
71	firewood	firewood	薪	Tibetan: tree	10	FIREWOOD	
72	be new	be new	新		1231	NEW	2
73	body, self	body, self	身	TB cognates: heart	1480	BODY	2
74	field	field	田	Cogtse: to plant, Brag-bar: farming, Tibetan: farmland	212	FIELD	2
75	strike	strike	撞	Japhug: to hit, Tibetan: to beat			
76	to kill	to kill	殺		1417	KILL	2
77	to defeat	to defeat	敗	Gyalrong cognates: to break			
78	suffer defeat	suffer defeat	敗	Gyalrong cognates: to break	1660	LOSE	
79	eight	eight	八		1705	EIGHT	2
80	to take off	to take off	脫	Brag-bar: to fall (from hand)	1755	UNDRESS	2
81	to scrape	to scrape	刮	Gyalrong cognates: to scratch	175	BLOW (OF WIND)	2
82	to dig out (earth)	to dig out (earth)	掘	Gyalrong cognates: to bury; Tibetan: to dig	1418	DIG	2
83	to slip	to slip	躓/疐				
84	to destroy	to destroy	滅	Gyalrong cognates: to extinguish	127	EXTINGUISH	
85	seven	seven	七		1704	SEVEN	2
86	to lose	to lose	失	Cogtse: to fall (from hand), Japhug: to fall	3072	MISPLACE	2
87	stiff	stiff	痹				
88	face	face	顏		1560	FACE	
89	fresh	fresh	鮮		243	FRESH	
90	sour	sour	酸		1906	SOUR	2
91	late	late	晚	Gyalrong cognates: night	477	LATE	2
92	earthworm	earthworm	蚓	Tibetan: worm	2350	EARTHWORM	
93	dusk, dark	dusk, dark	昏	Japhug: afternoon	706	DARK	
94	to smoke	to smoke	熏				
95	to stand	to stand	立		1442	STAND	2
96	to scoop water	to scoop water	汲 	OC not in BS; Gyalrong cognates: to carry water on back			
97	jaw, chin	jaw, chin	頷	Japhug: pliers	1510	CHIN	
98	pillow	pillow	枕		1044	PILLOW	
99	three	three	三		492	THREE	2
100	plant root	plant root	參		670	ROOT	
101	needle	needle	針		1382	NEEDLE (FOR SEWING)	2
102	be cloudy, dark	be cloudy, dark	陰	Gyalrong cognates: dark side of the mountain			
103	bear	bear	熊		1820	BEAR	2
104	owl	owl	梟	Gyalrong cognates: chicken			
105	to fry, roast	to fry, roast	熬		1100	COOK (SOMETHING)	2
106	command	command	号	Gyalrong cognates: to shout			
107	brown-and-white bear	brown-and-white bear	羆	Gyalrong cognates: Asiatic brown bear	1820	BEAR	
108	excrement	excrement	屎		675	FAECES (EXCREMENT)	2
#<<<							
109	millet or rice grains	millet or rice grains	米	Japhug: cooked rice; Tibetan: millet	3289	UNCOOKED RICE	2
#>>>							
110	arrow	arrow	矢		977	ARROW	
#<<<							
111	to die	to die	死		1494	DIE	2
#>>>							
112	deceased mother	deceased mother	妣	TB cognates: grandmother			
113	to give	to give	畀	Tibetan: to confer	1447	GIVE	
#<<<							
114	two	two	二		1498	TWO	2
#>>>							
115	eyebrow	eyebrow	眉	Gyalrong cognates: hair	1173	YEBROW	
